iter	Passed	Remaining
0	148	148307
1	150	75030
2	152	50602
3	154	38383
4	157	31273
5	159	26415
6	161	22979
7	163	20318
8	165	18277
9	184	18230
10	187	16873
11	189	15622
12	191	14548
13	193	13629
14	195	12825
15	197	12122
16	198	11502
17	200	10955
18	203	10523
19	205	10090
20	207	9684
21	209	9313
22	211	8974
23	213	8697
24	215	8413
25	217	8156
26	219	7913
27	221	7686
28	226	7585
29	229	7419
30	231	7228
31	233	7049
32	234	6881
33	236	6722
34	239	6597
35	241	6472
36	243	6340
37	245	6215
38	247	6093
39	249	5980
40	251	5875
41	253	5787
42	255	5693
43	257	5599
44	259	5509
45	261	5420
46	263	5335
47	264	5254
48	266	5180
49	269	5117
50	271	5046
51	272	4976
52	274	4909
53	276	4844
54	278	4781
55	280	4722
56	282	4665
57	284	4625
58	286	4574
59	288	4522
60	290	4471
61	292	4421
62	294	4373
63	295	4328
64	298	4300
65	301	4262
66	303	4221
67	306	4197
68	308	4158
69	310	4119
70	311	4081
71	314	4050
72	316	4019
73	318	3987
74	320	3953
75	322	3919
76	324	3887
77	326	3854
78	329	3837
79	331	3809
80	333	3778
81	334	3748
82	335	3707
83	337	3678
84	339	3653
85	341	3626
86	343	3600
87	347	3601
88	349	3581
89	352	3560
90	354	3537
91	355	3513
92	357	3489
93	362	3497
94	364	3474
95	366	3450
96	368	3427
97	369	3405
98	371	3383
99	373	3362
100	375	3345
101	378	3331
102	380	3311
103	382	3298
104	384	3280
105	386	3261
106	388	3243
107	390	3228
108	393	3214
109	395	3197
110	397	3183
111	400	3173
112	402	3156
113	404	3139
114	408	3143
115	411	3134
116	412	3114
117	414	3097
118	416	3081
119	417	3064
120	419	3048
121	422	3039
122	424	3029
123	426	3015
124	428	3001
125	430	2986
126	432	2969
127	444	3029
128	446	3015
129	448	3000
130	450	2986
131	452	2976
132	455	2970
133	457	2957
134	459	2943
135	461	2929
136	462	2915
137	464	2902
138	468	2901
139	470	2889
140	472	2876
141	473	2858
142	474	2845
143	477	2839
144	480	2835
145	488	2859
146	490	2847
147	492	2834
148	494	2822
149	496	2811
150	498	2800
151	501	2798
152	503	2789
153	506	2781
154	508	2770
155	510	2759
156	511	2748
157	513	2738
158	525	2778
159	527	2771
160	531	2768
161	533	2759
162	535	2750
163	537	2740
164	539	2729
165	541	2718
166	542	2707
167	544	2697
168	546	2689
169	549	2682
170	551	2672
171	552	2661
172	554	2651
173	556	2642
174	559	2637
175	562	2634
176	564	2624
177	566	2615
178	568	2605
179	569	2595
180	571	2586
181	573	2576
182	575	2567
183	577	2562
184	579	2553
185	581	2544
